"filename", "language", "TypeScript", "Ignore", "Docker", "YAML", "JavaScript", "JSON", "Markdown", "Shell Script", "TypeScript JSX", "JSON with Comments", "PostCSS", "MS SQL", "comment", "blank", "total"
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/connections/connections.service.test.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 103
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/connections/connections.service.ts", "TypeScript", 283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 318
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/files/files.controller.ts", "TypeScript", 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 332
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/files/files.module.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/files/files.service.test.ts", "TypeScript", 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 349
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/files/files.service.ts", "TypeScript", 654, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 745
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/health/health.controller.test.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/health/health.controller.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/health/health.module.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/health/health.service.test.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 52
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/health/health.service.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/jobs/jobs.controller.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 96
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/jobs/jobs.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/jobs/jobs.service.test.ts", "TypeScript", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 143
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/jobs/jobs.service.ts", "TypeScript", 542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 641
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/jobs/jobs.worker.service.test.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 138
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/jobs/jobs.worker.service.ts", "TypeScript", 562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 638
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/main.ts", "TypeScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 123
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/metrics/metrics.controller.test.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/metrics/metrics.controller.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/metrics/metrics.module.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/metrics/metrics.service.test.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/metrics/metrics.service.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 146
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/prisma/prisma.module.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/prisma/prisma.service.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/redis/redis.module.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/redis/redis.service.ts", "TypeScript", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 186
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/settings/settings.controller.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
